Lens name,zl,zs,thetaE,thetaeff,thetaap,sigma_ap,dsigma_ap,delta,Survey name
SDSSJ0755+3445,0.7224,2.6347,2.05,2.89,1,272,52,2.1988,BELLS GALLERY
SDSSJ0856+2010,0.5074,2.2335,0.98,0.51,1,334,54,2.1226,BELLS GALLERY
SDSSJ0918+5104,0.5811,2.403,1.6,0.57,1,298,49,2.0674,BELLS GALLERY
SDSSJ1110+2808,0.6073,2.3999,0.98,1.45,1,191,39,2.3536,BELLS GALLERY
SDSSJ1116+0915,0.5501,2.4536,1.03,0.98,1,274,55,2.3297,BELLS GALLERY
SDSSJ1141+2216,0.5858,2.7624,1.27,0.44,1,285,44,2.0104,BELLS GALLERY
SDSSJ1201+4743,0.5628,2.1258,1.18,0.48,1,239,43,1.8471,BELLS GALLERY
SDSSJ1226+5457,0.498,2.7322,1.37,0.56,1,248,26,2.1086,BELLS GALLERY
SDSSJ2228+1205,0.5305,2.8324,1.28,0.53,1,255,50,2.1638,BELLS GALLERY
SDSSJ2342-0120,0.527,2.2649,1.11,1.75,1,274,43,2.1688,BELLS GALLERY
